strokes,density
101,57
128,50
78,94
132,101
108,80
161,70
63,24
65,20
60,28
32,53
66,7
65,2
84,4
104,10
62,9
80,8
48,2
61,7
97,13
92,18
32,42
41,100
50,24
24,26
41,18
55,45
21,37
118,67
36,54
57,14
61,74
75,56
60,72
92,62
72,95
62,43
147,53
109,84
45,94
123,45
95,37
138,106
65,40
54,57
137,73
18,25
49,25
53,10
38,11
74,51
73,23
72,38
75,14
63,57
34,29
40,26
91,28
70,30
52,23
68,18
137,84
104,97
95,72
51,76
134,88
81,48
91,39
67,95
79,55
171,94
203,147
171,15
29,39
70,28
50,30
8,5
129,47
180,33
78,187
44,57
124,76
169,46
91,24
163,167
58,127
41,130
99,59
97,37
174,21
102,71
110,72
80,64
96,80
118,55
74,49
101,68
115,89
107,67
89,74
49,50
140,110
99,35
51,57
89,40
64,53
48,15
42,9
100,55
130,80
